,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,DEALSIZE,ORDER_YEAR,ORDER_MONTH,ORDER_QUARTER
16,10299,23,100.0,9,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Unknown,21240,Finland,Small,2004,9,3
17,10309,41,100.0,5,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,Medium,2004,10,4
19,10329,42,100.0,1,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Medium,2004,11,4
20,10341,41,100.0,9,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,Geislweg 14,Salzburg,Unknown,5020,Austria,Large,2004,11,4
21,10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Small,2004,12,4
25,10417,66,100.0,2,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,Large,2005,5,2
26,10103,26,100.0,11,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,Medium,2003,1,1
27,10112,29,100.0,1,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,Large,2003,3,1
28,10126,38,100.0,11,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Unknown,28023,Spain,Large,2003,5,2
29,10140,37,100.0,11,7374.1,2003-07-24,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Large,2003,7,3
30,10150,45,100.0,8,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,Large,2003,9,3
31,10163,21,100.0,1,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,5905 Pompton St.,NYC,NY,10022,USA,Medium,2003,10,4
33,10183,23,100.0,8,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Medium,2003,11,4
34,10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,Unknown,69004,France,Large,2003,11,4
36,10215,35,100.0,3,6075.3,2004-01-29,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3675 Furth Circle,Burbank,CA,94019,USA,Medium,2004,1,1
39,10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Large,2004,6,2
40,10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Medium,2004,7,3
41,10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,Via Monte Bianco 34,Torino,Unknown,10100,Italy,Large,2004,8,3
44,10312,48,100.0,3,11623.7,2004-10-21,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Large,2004,10,4
46,10333,26,100.0,3,3003.0,2004-11-18,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,N/A,USA,Medium,2004,11,4
47,10347,30,100.0,1,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Medium,2004,11,4
49,10369,41,100.0,2,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,MA,58339,USA,Medium,2005,1,1
50,10381,36,100.0,3,8254.8,2005-02-17,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,N/A,USA,Large,2005,2,1
53,10424,50,100.0,6,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,Large,2005,5,2
54,10107,39,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Medium,2003,2,1
55,10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Small,2003,4,2
57,10145,37,100.0,9,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA,Medium,2003,8,3
59,10168,27,100.0,4,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Medium,2003,10,4
61,10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,Medium,2003,11,4
64,10223,47,100.0,4,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Medium,2004,2,1
66,10251,44,100.0,5,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,94019,USA,Medium,2004,5,2
67,10263,40,100.0,5,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA,Medium,2004,6,2
68,10275,22,100.0,4,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,Small,2004,7,3
69,10285,47,100.0,9,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Medium,2004,8,3
70,10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,"54, rue Royale",Nantes,Unknown,44000,France,Medium,2004,9,3
71,10308,34,100.0,2,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,3758 North Pendale Street,White Plains,NY,24067,USA,Medium,2004,10,4
73,10329,20,100.0,2,3176.0,2004-11-15,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Medium,2004,11,4
74,10339,40,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Small,2004,11,4
75,10361,26,51.15,8,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Small,2004,12,4
79,10417,45,100.0,5,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,Medium,2005,5,2
80,10107,27,100.0,4,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Medium,2003,2,1
81,10120,46,100.0,2,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Large,2003,4,2
83,10145,33,100.0,8,5176.38,2003-08-25,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,90003,USA,Medium,2003,8,3
85,10168,20,100.0,3,4183.0,2003-10-28,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Medium,2003,10,4
87,10188,45,100.0,3,8714.7,2003-11-18,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,Large,2003,11,4
90,10223,49,100.0,3,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Large,2004,2,1
92,10251,43,100.0,4,7078.23,2004-05-18,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,94019,USA,Large,2004,5,2
93,10263,41,100.0,4,8336.94,2004-06-28,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,97562,USA,Large,2004,6,2
94,10275,36,100.0,3,6901.92,2004-07-23,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,Medium,2004,7,3
95,10285,27,100.0,8,5438.07,2004-08-27,Shipped,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Medium,2004,8,3
96,10299,29,100.0,11,6683.34,2004-09-30,Shipped,3,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Unknown,21240,Finland,Medium,2004,9,3
97,10308,20,100.0,1,4570.4,2004-10-15,Shipped,4,10,2004,Motorcycles,193,S10_4698,Mini Classics,3758 North Pendale Street,White Plains,NY,24067,USA,Medium,2004,10,4
99,10329,26,100.0,3,5868.2,2004-11-15,Shipped,4,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Medium,2004,11,4
100,10339,39,76.67,3,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Small,2004,11,4
105,10417,56,100.0,4,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,Large,2005,5,2
107,10119,46,100.0,11,5004.8,2003-04-28,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,Geislweg 14,Salzburg,Unknown,5020,Austria,Medium,2003,4,2
111,10167,44,100.0,9,5924.16,2003-10-23,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,?kergatan 24,Boras,Unknown,S-844 67,Sweden,Medium,2003,10,4
113,10186,26,100.0,9,3854.24,2003-11-14,Shipped,4,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,Unknown,WA1 1DP,UK,Medium,2003,11,4
114,10197,45,100.0,6,5324.4,2003-11-26,Shipped,4,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Unknown,8022,Spain,Medium,2003,11,4
116,10222,49,100.0,12,5997.6,2004-02-19,Shipped,1,2,2004,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,361 Furth Circle,San Diego,CA,91217,USA,Medium,2004,2,1
118,10261,27,100.0,1,3378.24,2004-06-17,Shipped,2,6,2004,Classic Cars,136,S10_4757,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Medium,2004,6,2
119,10273,30,100.0,4,3508.8,2004-07-21,Shipped,3,7,2004,Classic Cars,136,S10_4757,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Unknown,B-1180,Belgium,Medium,2004,7,3
120,10283,25,100.0,6,2992.0,2004-08-20,Shipped,3,8,2004,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,Small,2004,8,3
122,10307,22,100.0,9,2692.8,2004-10-14,Shipped,4,10,2004,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Small,2004,10,4
125,10337,25,48.05,8,1201.25,2004-11-21,Shipped,4,11,2004,Classic Cars,136,S10_4757,Classic Legends Inc.,5905 Pompton St.,NYC,NY,10022,USA,Small,2004,11,4
127,10359,48,54.68,6,2624.64,2004-12-15,Shipped,4,12,2004,Classic Cars,136,S10_4757,Reims Collectables,59 rue de l'Abbaye,Reims,Unknown,51100,France,Small,2004,12,4
128,10373,39,100.0,3,4046.25,2005-01-31,Shipped,1,1,2005,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Unknown,90110,Finland,Medium,2005,1,1
129,10384,34,100.0,4,4846.7,2005-02-23,Shipped,1,2,2005,Classic Cars,136,S10_4757,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,N/A,USA,Medium,2005,2,1
130,10395,32,100.0,2,3370.56,2005-03-17,Shipped,1,3,2005,Classic Cars,136,S10_4757,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,Medium,2005,3,1
133,10103,42,100.0,4,5398.26,2003-01-29,Shipped,1,1,2003,Classic Cars,147,S10_4962,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,Medium,2003,1,1
135,10126,22,100.0,4,3347.74,2003-05-28,Shipped,2,5,2003,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Unknown,28023,Spain,Medium,2003,5,2
136,10140,26,100.0,4,3188.12,2003-07-24,Shipped,3,7,2003,Classic Cars,147,S10_4962,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Medium,2003,7,3
137,10150,20,100.0,1,3191.2,2003-09-19,Shipped,3,9,2003,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,Medium,2003,9,3
138,10164,21,100.0,2,3536.82,2003-10-21,Resolved,4,10,2003,Classic Cars,147,S10_4962,Mini Auto Werke,Kirchgasse 6,Graz,Unknown,8010,Austria,Medium,2003,10,4
140,10183,28,100.0,1,3433.36,2003-11-13,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Medium,2003,11,4
141,10194,26,100.0,4,4263.74,2003-11-25,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,Unknown,69004,France,Medium,2003,11,4
146,10259,26,100.0,12,4033.38,2004-06-15,Shipped,2,6,2004,Classic Cars,147,S10_4962,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,Medium,2004,6,2
147,10270,32,100.0,2,4302.08,2004-07-19,Shipped,3,7,2004,Classic Cars,147,S10_4962,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Medium,2004,7,3
148,10281,44,100.0,9,7020.64,2004-08-19,Shipped,3,8,2004,Classic Cars,147,S10_4962,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Large,2004,8,3
150,10305,38,100.0,13,6680.78,2004-10-13,Shipped,4,10,2004,Classic Cars,147,S10_4962,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Medium,2004,10,4
151,10313,40,100.0,7,6678.0,2004-10-22,Shipped,4,10,2004,Classic Cars,147,S10_4962,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Medium,2004,10,4
153,10334,26,100.0,2,3188.12,2004-11-19,On Hold,4,11,2004,Classic Cars,147,S10_4962,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,Medium,2004,11,4
154,10347,27,100.0,2,4428.0,2004-11-29,Shipped,4,11,2004,Classic Cars,147,S10_4962,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,3004,Australia,Medium,2004,11,4
156,10370,35,65.63,4,2297.05,2005-01-20,Shipped,1,1,2005,Classic Cars,147,S10_4962,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,2060,Australia,Small,2005,1,1
157,10381,37,100.0,6,6231.54,2005-02-17,Shipped,1,2,2005,Classic Cars,147,S10_4962,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,N/A,USA,Medium,2005,2,1
160,10425,38,100.0,12,5894.94,2005-05-31,In Process,2,5,2005,Classic Cars,147,S10_4962,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,Medium,2005,5,2
168,10191,21,100.0,3,3840.9,2003-11-20,Shipped,4,11,2003,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Unknown,50739,Germany,Medium,2003,11,4
170,10211,41,100.0,2,7498.9,2004-01-15,Shipped,1,1,2004,Classic Cars,194,S12_1099,Auto Canal Petit,"25, rue Lauriston",Paris,Unknown,75016,France,Large,2004,1,1
171,10225,27,100.0,9,4517.91,2004-02-22,Shipped,1,2,2004,Classic Cars,194,S12_1099,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Unknown,1203,Switzerland,Medium,2004,2,1
176,10287,21,100.0,12,3432.24,2004-08-30,Shipped,3,8,2004,Classic Cars,194,S12_1099,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Unknown,1203,Switzerland,Medium,2004,8,3
178,10310,33,100.0,10,6934.62,2004-10-16,Shipped,4,10,2004,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,Unknown,50739,Germany,Medium,2004,10,4
180,10329,41,71.47,5,2930.27,2004-11-15,Shipped,4,11,2004,Classic Cars,194,S12_1099,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,10022,USA,Small,2004,11,4
181,10341,45,79.65,2,3584.25,2004-11-24,Shipped,4,11,2004,Classic Cars,194,S12_1099,Salzburg Collectables,Geislweg 14,Salzburg,Unknown,5020,Austria,Medium,2004,11,4
185,10419,12,100.0,13,1961.28,2005-05-17,Shipped,2,5,2005,Classic Cars,194,S12_1099,Salzburg Collectables,Geislweg 14,Salzburg,Unknown,5020,Austria,Small,2005,5,2
187,10117,33,100.0,9,6034.38,2003-04-16,Shipped,2,4,2003,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,Medium,2003,4,2
190,10153,20,100.0,11,4904.0,2003-09-28,Shipped,3,9,2003,Classic Cars,207,S12_1108,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,Medium,2003,9,3
191,10165,44,100.0,3,8594.52,2003-10-22,Shipped,4,10,2003,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,Large,2003,10,4
193,10185,21,100.0,13,3883.74,2003-11-14,Shipped,4,11,2003,Classic Cars,207,S12_1108,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,MA,50553,USA,Medium,2003,11,4
194,10196,47,100.0,5,8887.7,2003-11-26,Shipped,4,11,2003,Classic Cars,207,S12_1108,Super Scale Inc.,567 North Pendale Street,New Haven,CT,97823,USA,Large,2003,11,4
197,10231,42,100.0,2,8378.58,2004-03-19,Shipped,1,3,2004,Classic Cars,207,S12_1108,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Unknown,28023,Spain,Large,2004,3,1
199,10272,35,100.0,2,5818.4,2004-07-20,Shipped,3,7,2004,Classic Cars,207,S12_1108,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Medium,2004,7,3
200,10282,41,100.0,5,7071.27,2004-08-20,Shipped,3,8,2004,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Large,2004,8,3
202,10306,31,100.0,13,6570.76,2004-10-14,Shipped,4,10,2004,Classic Cars,207,S12_1108,"AV Stores, Co.",Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,Medium,2004,10,4
203,10314,38,100.0,5,7975.44,2004-10-22,Shipped,4,10,2004,Classic Cars,207,S12_1108,Heintze Collectables,Smagsloget 45,Aaarhus,Unknown,8200,Denmark,Large,2004,10,4
205,10336,33,57.22,10,1888.26,2004-11-20,Shipped,4,11,2004,Classic Cars,207,S12_1108,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,Unknown,75012,France,Small,2004,11,4
207,10359,42,100.0,8,4764.48,2004-12-15,Shipped,4,12,2004,Classic Cars,207,S12_1108,Reims Collectables,59 rue de l'Abbaye,Reims,Unknown,51100,France,Medium,2004,12,4
208,10371,32,100.0,6,3560.64,2005-01-23,Shipped,1,1,2005,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Medium,2005,1,1
209,10382,34,100.0,10,3823.64,2005-02-17,Shipped,1,2,2005,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Medium,2005,2,1
210,10395,33,69.12,1,2280.96,2005-03-17,Shipped,1,3,2005,Classic Cars,207,S12_1108,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,Small,2005,3,1
212,10103,27,100.0,8,3394.98,2003-01-29,Shipped,1,1,2003,Trucks and Buses,136,S12_1666,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,Medium,2003,1,1
213,10113,21,100.0,2,3415.44,2003-03-26,Shipped,1,3,2003,Trucks and Buses,136,S12_1666,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,97562,USA,Medium,2003,3,1
214,10126,21,100.0,8,2439.57,2003-05-28,Shipped,2,5,2003,Trucks and Buses,136,S12_1666,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Unknown,28023,Spain,Small,2003,5,2
215,10140,38,100.0,8,4829.8,2003-07-24,Shipped,3,7,2003,Trucks and Buses,136,S12_1666,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,94217,USA,Medium,2003,7,3
216,10150,30,100.0,5,4100.1,2003-09-19,Shipped,3,9,2003,Trucks and Buses,136,S12_1666,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,Medium,2003,9,3
217,10164,49,100.0,6,6563.06,2003-10-21,Resolved,4,10,2003,Trucks and Buses,136,S12_1666,Mini Auto Werke,Kirchgasse 6,Graz,Unknown,8010,Austria,Medium,2003,10,4
219,10183,41,100.0,5,6163.94,2003-11-13,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,71270,USA,Medium,2003,11,4
220,10194,38,100.0,8,4933.92,2003-11-25,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,Unknown,69004,France,Medium,2003,11,4
225,10258,41,100.0,3,6668.24,2004-06-15,Shipped,2,6,2004,Trucks and Buses,136,S12_1666,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Medium,2004,6,2
226,10270,28,100.0,6,4094.72,2004-07-19,Shipped,3,7,2004,Trucks and Buses,136,S12_1666,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Medium,2004,7,3
227,10281,25,100.0,13,2938.5,2004-08-19,Shipped,3,8,2004,Trucks and Buses,136,S12_1666,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,70267,USA,Small,2004,8,3
